timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
505,1i,150.0,14,3.0409,11,69.05,False,4.0,2.8765,0.4603333333333333,0.42857142857142855,0.5,0.0,0.07142857142857142
510,1i,150.0,13,1.381,12,73.05,False,8.0,-1.1346999999999998,0.487,0.38461538461538464,0.5384615384615384,0.0,0.07692307692307693
515,1i,150.0,12,0.0,12,73.05,False,8.0,-2.0666,0.487,0.3333333333333333,0.5833333333333334,0.0,0.08333333333333333
520,1i,150.0,13,1.5973,12,73.05,False,4.0,0.7254999999999999,0.487,0.38461538461538464,0.5384615384615384,0.0,0.07692307692307693
525,1i,150.0,14,1.8546,12,73.05,False,4.0,1.7438,0.487,0.35714285714285715,0.5,0.0,0.14285714285714285
530,1i,150.0,14,2.8267,10,80.05,False,11.0,-0.5731999999999999,0.5336666666666666,0.35714285714285715,0.5,0.0,0.14285714285714285
535,1i,150.0,12,1.5751,6,80.05,False,11.0,-1.4658000000000002,0.5336666666666666,0.4166666666666667,0.4166666666666667,0.0,0.16666666666666666
540,1i,150.0,12,1.0251,6,79.92,False,6.8700000000000045,-0.3559000000000001,0.5328,0.4166666666666667,0.4166666666666667,0.0,0.16666666666666666
545,1i,150.0,14,2.9115,6,26.09,False,-46.959999999999994,2.9115,0.17393333333333333,0.35714285714285715,0.5,0.0,0.14285714285714285
550,1i,150.0,15,1.6939,9,44.24,False,-28.809999999999995,0.09660000000000002,0.2949333333333333,0.3333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333
555,1i,150.0,15,0.8563,13,59.21,False,-13.839999999999996,-0.9983000000000001,0.3947333333333333,0.3333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333
560,1i,150.0,15,0.312,14,63.06,False,-16.989999999999995,-2.5147000000000004,0.4204,0.3333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333
565,1i,150.0,17,1.8446,15,63.05,False,-17.0,0.2695000000000001,0.42033333333333334,0.29411764705882354,0.47058823529411764,0.11764705882352941,0.11764705882352941
570,1i,150.0,18,1.4217,15,63.05,False,-16.870000000000005,0.39660000000000006,0.42033333333333334,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111
575,1i,150.0,18,0.5152,16,63.05,False,36.959999999999994,-2.3963,0.42033333333333334,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111
580,1i,150.0,19,1.0674,18,70.05,False,25.809999999999995,-0.6265000000000001,0.46699999999999997,0.3684210526315789,0.42105263157894735,0.10526315789473684,0.10526315789473684
585,1i,150.0,21,1.842,18,70.05,False,10.839999999999996,0.9857000000000001,0.46699999999999997,0.3333333333333333,0.47619047619047616,0.09523809523809523,0.09523809523809523
590,1i,150.0,18,1.3761,13,82.76,False,19.700000000000003,1.0641,0.5517333333333334,0.3888888888888889,0.5,0.05555555555555555,0.05555555555555555
595,1i,150.0,14,0.3538,13,82.76,False,19.710000000000008,-1.4908000000000001,0.5517333333333334,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.07142857142857142
600,1i,150.0,13,0.0,13,82.76,False,19.710000000000008,-1.4217,0.5517333333333334,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693
605,1i,150.0,15,2.2108,13,82.76,False,19.710000000000008,1.6955999999999998,0.5517333333333334,0.4,0.4,0.13333333333333333,0.06666666666666667
610,1i,150.0,15,1.3721,13,82.76,False,12.710000000000008,0.3047000000000002,0.5517333333333334,0.4,0.4,0.13333333333333333,0.06666666666666667
615,1i,150.0,15,0.7203,14,86.97,False,16.92,-1.1217000000000001,0.5798,0.4,0.4,0.13333333333333333,0.06666666666666667
620,1i,150.0,14,0.1908,13,86.76,False,4.0,-1.1853,0.5784,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07142857142857142
625,1i,150.0,14,1.645,8,86.76,False,4.0,1.2912,0.5784,0.35714285714285715,0.5,0.14285714285714285,0.0
630,1i,150.0,16,2.9221,8,99.51,False,16.75,2.9221,0.6634,0.3125,0.4375,0.25,0.0
635,1i,150.0,16,1.7522,9,98.4,False,15.64,-0.4585999999999999,0.656,0.3125,0.4375,0.25,0.0
640,1i,150.0,16,0.5075,11,45.3,False,-37.46000000000001,-0.8646000000000001,0.302,0.3125,0.4375,0.25,0.0
645,1i,150.0,18,1.461,15,69.0,False,-17.97,0.7407,0.46,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.0
650,1i,150.0,19,1.0035,16,81.48,False,-5.280000000000001,0.8127000000000001,0.5432,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.0
655,1i,150.0,19,0.4305,18,88.44,False,1.6799999999999926,-1.2145000000000001,0.5896,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.0
660,1i,150.0,19,0.0469,18,88.43,False,-11.079999999999998,-2.8752,0.5895333333333334,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.0
665,1i,150.0,21,1.1331,19,88.43,False,-9.969999999999999,-0.6191,0.5895333333333334,0.42857142857142855,0.3333333333333333,0.23809523809523808,0.0
670,1i,150.0,22,0.9128,20,92.44,False,47.14,0.4053,0.6162666666666666,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.0
