timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
840,4i,10,1.3291,9.0,177.58
845,1i,11,1.1481,1.0,295.59
845,2i,7,0.1914,5.0,238.16
845,3i,14,0.1097,1.0,218.58
845,4i,10,0.1226,1.0,177.58
850,1i,11,0.3867,1.0,262.68
850,2i,7,0.1227,5.0,232.04
850,3i,13,0.3668,1.0,218.58
850,4i,9,0.4456,1.0,177.58
855,1i,11,0.1166,1.0,252.18
855,2i,8,3.065,5.0,383.39
855,3i,13,0.3254,1.0,218.58
855,4i,9,0.4632,1.0,177.58
860,1i,9,0.041,5.0,247.66
860,2i,7,2.164,19.0,282.76
860,3i,13,0.3478,1.0,218.58
860,4i,9,0.2786,1.0,177.58
865,1i,9,0.0081,5.0,246.13
865,2i,8,5.5506,19.0,429.29
865,3i,14,2.1936,1.0,483.3
865,4i,10,2.7587,1.0,430.27
870,1i,9,0.0005,5.0,246.01
870,2i,8,5.3837,19.0,295.17
870,3i,14,1.9046,1.0,354.86
870,4i,10,2.992,1.0,295.27
