timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
630,1i,3,4.3662,1.0,92.4
630,2i,8,7.6498,1.0,360.22
630,3i,0,,,
630,4i,2,13.3701,15.04,188.71
635,1i,3,2.4347,1.0,87.72
635,2i,8,4.3512,1.0,239.4
635,3i,0,,,
635,4i,2,12.4685,5.72,67.72
640,1i,3,0.7771,1.0,76.83
640,2i,8,2.8815,1.0,137.54
640,3i,0,,,
640,4i,1,24.5005,431.97,431.97
645,1i,4,4.8471,1.0,453.97
645,2i,8,2.3773,1.0,118.72
645,3i,0,,,
645,4i,1,23.954,311.4,311.4
650,1i,4,4.7681,1.0,357.64
650,2i,8,0.9243,1.0,107.69
650,3i,0,,,
650,4i,1,23.5375,191.08,191.08
655,1i,4,4.8344,1.0,262.28
655,2i,8,0.0642,1.0,101.92
655,3i,0,,,
655,4i,1,21.5726,73.21,73.21
660,1i,4,4.0581,1.0,173.04
660,2i,8,0.0003,1.0,101.85
660,3i,0,,,
660,4i,1,7.5726,7.35,7.35
665,1i,4,3.2449,1.0,99.91
665,2i,8,0.0,1.0,101.85
665,3i,0,,,
665,4i,1,0.0,1.0,1.0
670,1i,4,2.1341,1.0,73.13
670,2i,8,0.0,1.0,101.85
670,3i,0,,,
670,4i,1,0.0,1.0,1.0
675,1i,4,1.0091,1.0,73.13
675,2i,8,0.0,1.0,101.85
675,3i,0,,,
675,4i,1,0.0,1.0,1.0
680,1i,3,2.4357,4.94,73.13
680,2i,4,0.0,37.09,101.85
680,3i,0,,,
680,4i,1,0.0,1.0,1.0
685,1i,1,0.0,73.13,73.13
685,2i,5,5.4627,37.09,428.75
685,3i,1,19.1326,434.97,434.97
685,4i,1,0.0,1.0,1.0
690,1i,1,0.0,73.13,73.13
690,2i,5,5.3155,37.09,294.12
690,3i,1,18.9223,339.85,339.85
690,4i,1,0.0,1.0,1.0
695,1i,1,0.0,73.13,73.13
695,2i,5,3.5182,37.09,180.25
695,3i,1,19.3311,244.27,244.27
695,4i,1,0.0,1.0,1.0
700,1i,1,0.0,73.13,73.13
700,2i,5,0.8467,37.09,133.01
700,3i,1,16.6341,153.52,153.52
700,4i,1,0.0,1.0,1.0
705,1i,1,0.0,73.13,73.13
705,2i,6,3.1807,37.09,399.28
705,3i,1,17.2172,69.59,69.59
705,4i,1,0.0,1.0,1.0
710,1i,1,0.0,73.13,73.13
710,2i,6,3.0492,37.09,304.96
710,3i,1,7.2442,6.49,6.49
710,4i,1,0.0,1.0,1.0
715,1i,1,0.0,73.13,73.13
715,2i,6,3.5407,32.87,210.17
715,3i,1,0.0,1.0,1.0
715,4i,1,0.0,1.0,1.0
720,1i,2,12.8034,71.48,480.3
720,2i,6,3.2573,24.08,130.89
720,3i,1,0.0,1.0,1.0
