timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,true_queue_length_m,true_queue_beyond_camera
315,1i,150.0,13,1.0738,11,31.05,False,4,6.6211,1.0,269.61,scenario_high_demand,train,development,0.5,4.0,-0.9473999999999998,0.207,1.0,55.01000000000002,3.0,6.0,False,10.0,86.66666666666667,335.02560000000005,0.1333333333333333,,31.05,False
320,1i,150.0,10,3.5848,7,35.07,False,5,14.2954,1.0,396.28,scenario_high_demand,train,development,0.5,8.02,-0.7284999999999999,0.2338,2.0,300.09,4.0,4.0,False,15.0,66.66666666666667,860.352,0.2673333333333333,,35.07,False
325,1i,150.0,8,1.9466,7,35.05,False,5,12.295,1.0,300.71,scenario_high_demand,train,development,0.5,7.9999999999999964,0.5457000000000001,0.2336666666666666,2.0,280.53,4.0,9.0,False,20.0,53.333333333333336,373.7472,0.2666666666666665,,35.05,False
330,1i,150.0,8,3.218,7,35.05,False,4,10.8679,1.0,206.46,scenario_high_demand,train,development,0.5,3.999999999999997,0.9247,0.2336666666666666,1.0,197.46,4.0,14.0,False,25.0,53.333333333333336,617.856,0.1333333333333332,,35.05,False
335,1i,150.0,9,2.9182,7,35.05,False,4,6.5659,1.0,131.25,scenario_high_demand,train,development,0.5,3.999999999999997,1.649,0.2336666666666666,1.0,122.25,4.0,19.0,False,30.0,60.0,630.3312000000001,0.1333333333333332,,35.05,False
340,1i,150.0,8,1.1,7,35.05,False,4,8.9489,1.0,401.4,scenario_high_demand,train,development,0.5,3.999999999999997,-2.2432,0.2336666666666666,0.0,-1.5,4.0,24.0,False,35.0,53.333333333333336,211.2,0.1333333333333332,,35.05,False
345,1i,150.0,9,2.4807,7,35.05,False,4,7.915,1.0,265.66,scenario_high_demand,train,development,0.5,3.999999999999997,1.4069,0.2336666666666666,0.0,-3.9499999999999886,5.0,4.0,False,40.0,60.0,535.8312000000001,0.1333333333333332,,35.05,False
350,1i,150.0,8,4.3562,6,39.21,False,4,13.8307,8.0,430.03,scenario_high_demand,train,development,0.5,4.140000000000001,0.7714000000000003,0.2614,-1.0,33.75,6.0,2.0,False,45.0,53.333333333333336,836.3904000000001,0.138,,39.21,False
355,1i,150.0,8,4.4295,3,38.88,False,3,13.4063,31.93,297.09,scenario_high_demand,train,development,0.5,3.830000000000005,2.4829,0.2592,-2.0,-3.620000000000005,7.0,1.0,False,50.0,53.333333333333336,850.464,0.1276666666666668,,38.88,False
360,1i,150.0,8,1.7625,2,1.01,False,4,12.0082,1.43,437.72,scenario_high_demand,train,development,0.5,-34.04,-1.4555,0.0067333333333333,0.0,231.26,7.0,6.0,False,55.0,53.333333333333336,338.4,-1.1346666666666667,,1.01,False
365,1i,150.0,9,2.6507,5,9.0,False,4,9.8459,1.0,343.28,scenario_high_demand,train,development,0.5,-26.05,-0.2675,0.06,0.0,212.03,0.0,4.0,True,,60.0,572.5512,-0.8683333333333333,,9.0,False
370,1i,150.0,9,0.6893,8,31.1,False,4,6.2851,1.0,248.91,scenario_high_demand,train,development,0.5,-3.949999999999996,-0.4107,0.2073333333333333,0.0,-152.48999999999998,0.0,9.0,True,,60.0,148.88880000000003,-0.1316666666666665,,31.1,False
