timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
210,1i,150.0,7,3.9814,4,15.04,False,2,6.9088,15.04,37.09,scenario_normal_balanced,train,development,0.11,14.04,-9.504999999999999,0.10026666666666666,1.0,-52.78,1.0,4.0,False,0,46.66666666666667,668.8752000000001,0.46799999999999997,,,,210.0,15.042,,
215,1i,150.0,7,0.1783,5,15.04,False,3,6.8298,5.62,436.95,scenario_normal_balanced,train,development,0.11,14.04,-4.0202,0.10026666666666666,2.0,412.78999999999996,2.0,2.0,True,,46.66666666666667,29.954400000000003,0.46799999999999997,,597.673728,147.6,215.0,5.624,,
220,1i,150.0,7,0.0004,7,19.04,False,3,6.0778,5.0,342.43,scenario_normal_balanced,train,development,0.11,3.9899999999999984,-0.046200000000000005,0.12693333333333331,2.0,327.38,3.0,1.0,False,0,46.66666666666667,0.06720000000000001,0.13299999999999995,,,,220.0,5.0026,,
225,1i,150.0,7,0.0,7,19.04,False,3,6.2483,5.0,248.65,scenario_normal_balanced,train,development,0.11,4.0,0.0,0.12693333333333331,1.0,-153.95000000000002,3.0,6.0,False,5,46.66666666666667,0.0,0.13333333333333333,,,,220.0,5.0026,,
230,1i,150.0,3,0.0,3,19.04,False,2,9.6093,15.04,153.62,scenario_normal_balanced,train,development,0.11,4.0,-5.2135,0.12693333333333331,0.0,-113.89999999999998,4.0,4.0,False,10,20.0,0.0,0.13333333333333333,,,,220.0,5.0026,,227.0
235,1i,150.0,6,9.8289,3,19.04,False,2,8.5215,15.04,65.65,scenario_normal_balanced,train,development,0.11,4.0,0.22680000000000078,0.12693333333333331,0.0,-67.1,4.0,9.0,False,15,40.0,1415.3616000000002,0.13333333333333333,,,,220.0,5.0026,,227.0
240,1i,150.0,5,4.5673,3,19.04,False,1,0.0,15.04,15.04,scenario_normal_balanced,train,development,0.11,4.0,0.5859000000000005,0.12693333333333331,-1.0,-22.050000000000004,4.0,14.0,False,20,33.333333333333336,548.076,0.13333333333333333,,,,220.0,5.0026,,227.0
245,1i,150.0,4,0.0047,4,23.05,False,1,0.0,15.04,15.04,scenario_normal_balanced,train,development,0.11,8.010000000000002,-0.17359999999999998,0.15366666666666667,-2.0,-421.90999999999997,4.0,19.0,False,25,26.666666666666668,0.45120000000000005,0.26700000000000007,,,,220.0,5.0026,,227.0
250,1i,150.0,4,0.0,4,23.04,False,1,0.0,15.04,15.04,scenario_normal_balanced,train,development,0.11,4.0,-0.0004,0.1536,-2.0,-327.39,4.0,24.0,False,30,26.666666666666668,0.0,0.13333333333333333,,,,220.0,5.0026,,227.0
255,1i,150.0,5,4.7395,4,23.04,False,1,0.0,15.04,15.04,scenario_normal_balanced,train,development,0.11,4.0,4.7395,0.1536,-2.0,-233.61,5.0,4.0,False,35,33.333333333333336,568.74,0.13333333333333333,,,,220.0,5.0026,,227.0
