timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
390,2i,1,0.001,5.0,5.0
390,3i,4,5.8638,8.0,312.48
390,4i,6,8.3525,1.0,309.94
395,1i,7,1.7461,1.0,64.17
395,2i,1,0.0,5.0,5.0
395,3i,4,7.8919,0.04,190.34
395,4i,4,13.3372,11.0,189.02
400,1i,7,0.728,1.0,24.45
400,2i,2,13.6013,5.0,456.1
400,3i,2,9.962,9.82,83.34
400,4i,4,9.5081,1.0,72.67
405,1i,7,0.0084,1.0,19.0
405,2i,2,13.7826,5.0,320.87
405,3i,2,3.2751,5.0,32.46
405,4i,4,2.6595,1.0,20.29
410,1i,4,1.2395,5.0,19.0
410,2i,1,26.8266,186.52,186.52
410,3i,2,0.0671,5.0,23.03
410,4i,4,0.0001,1.0,19.04
415,1i,4,6.8764,5.0,376.26
415,2i,2,22.1508,73.87,375.82
415,3i,4,12.745,5.0,384.56
415,4i,4,0.0,1.0,19.04
420,1i,4,6.8448,5.0,242.32
420,2i,1,27.5057,240.63,240.63
420,3i,4,12.8286,5.0,265.69
420,4i,4,0.0,1.0,19.04
425,1i,4,5.3323,5.0,116.06
425,2i,1,27.2383,105.26,105.26
425,3i,4,11.6106,5.0,143.62
425,4i,4,0.0,1.0,19.04
430,1i,4,2.2137,5.0,45.95
430,2i,1,13.3594,10.71,10.71
430,3i,4,5.7936,5.0,46.25
430,4i,4,0.0,1.0,19.04
435,1i,4,0.0035,5.0,35.72
435,2i,0,,,
435,3i,4,0.3374,5.0,30.01
435,4i,4,0.0,1.0,19.04
440,1i,5,10.8362,11.08,430.99
440,2i,2,27.2791,427.94,428.9
440,3i,6,7.9996,5.0,432.24
440,4i,4,0.0,1.0,19.04
445,1i,4,14.8175,3.52,296.79
445,2i,2,26.3968,294.12,294.61
445,3i,6,7.9752,5.0,312.34
445,4i,4,0.0,1.0,19.04
450,1i,4,13.6137,1.0,162.16
450,2i,2,26.877,160.7,162.76
450,3i,6,8.0286,5.0,192.46
450,4i,4,0.0,1.0,19.04
455,1i,4,7.9562,1.0,61.95
455,2i,3,17.5783,51.15,417.2
455,3i,6,6.5634,5.0,82.99
455,4i,3,0.0,1.0,19.04
460,1i,4,2.061,1.0,22.51
460,2i,3,8.4962,2.82,322.9
460,3i,5,3.1954,5.0,37.03
460,4i,3,0.0,1.0,19.04
465,1i,5,3.8899,1.0,474.59
465,2i,3,6.4322,1.0,228.33
465,3i,6,8.3334,5.0,480.3
465,4i,3,0.0,1.0,19.04
470,1i,5,3.7494,1.0,379.46
470,2i,3,6.093,1.0,134.31
470,3i,6,8.3052,5.0,359.0
470,4i,3,0.0,1.0,19.04
475,1i,5,3.6842,1.0,285.04
475,2i,3,4.1105,1.0,57.66
475,3i,6,7.8945,5.0,238.79
475,4i,3,0.0,1.0,19.04
480,1i,6,7.1668,1.0,431.79
480,2i,4,8.0943,1.0,428.68
480,3i,6,7.7175,5.0,121.93
480,4i,4,6.5949,1.0,429.88
485,1i,6,6.9336,1.0,310.84
485,2i,4,6.5762,1.0,294.08
485,3i,5,4.3889,23.01,50.93
485,4i,3,9.611,12.87,293.11
490,1i,6,5.8596,1.0,188.99
490,2i,4,6.8941,1.0,158.89
490,3i,5,2.1277,1.0,40.72
490,4i,2,15.2248,2.66,157.51
495,1i,8,8.2999,1.0,419.04
495,2i,5,8.2247,1.0,403.55
495,3i,5,1.4434,1.0,26.67
495,4i,2,9.3714,1.0,59.43
500,1i,6,9.7295,1.0,325.72
500,2i,3,11.1012,9.0,269.09
500,3i,5,0.0249,1.0,23.03
500,4i,2,2.9137,1.0,3.83
505,1i,5,9.0656,1.0,232.59
505,2i,2,13.285,9.0,134.2
505,3i,6,3.8968,1.0,456.92
505,4i,3,8.1932,1.0,455.72
510,1i,5,6.8621,1.0,139.61
510,2i,2,8.438,9.0,26.88
510,3i,6,4.1331,1.0,336.64
510,4i,3,7.8535,1.0,335.99
515,1i,4,2.7727,1.0,70.13
515,2i,1,0.0,9.0,9.0
515,3i,6,4.0818,1.0,215.46
515,4i,3,7.8856,1.0,215.04
520,1i,6,9.9655,1.0,483.3
520,2i,3,16.6667,9.0,480.3
520,3i,7,6.9147,1.0,483.3
520,4i,3,6.6954,1.0,99.25
525,1i,6,9.0016,1.0,347.68
525,2i,3,16.1625,9.0,359.89
525,3i,7,5.0431,1.0,350.5
525,4i,3,3.6172,1.0,26.52
530,1i,5,10.9934,16.42,213.66
530,2i,3,16.9796,7.55,239.9
530,3i,7,3.8169,1.0,215.97
530,4i,3,0.3495,1.0,5.05
535,1i,5,9.2831,1.13,96.7
535,2i,2,24.4502,116.94,120.46
535,3i,7,2.9308,1.0,92.92
535,4i,4,6.5938,1.0,375.74
540,1i,5,3.9545,1.0,38.5
540,2i,2,12.5078,26.75,32.89
540,3i,7,1.2883,1.0,25.83
540,4i,4,6.5275,1.0,240.14
545,1i,5,0.0456,1.0,25.74
545,2i,2,0.4452,1.06,9.01
545,3i,6,1.5327,3.47,23.0
545,4i,2,10.8038,1.0,113.92
550,1i,7,7.3192,1.0,408.99
550,2i,3,9.1646,1.0,402.72
550,3i,4,0.0,5.0,23.0
550,4i,2,9.2896,1.0,26.08
555,1i,7,7.2552,1.0,289.54
555,2i,3,8.9673,1.0,268.93
555,3i,4,0.0,5.0,23.0
555,4i,1,0.0,1.0,1.0
560,1i,8,9.704,1.0,402.64
560,2i,4,13.1025,1.0,404.38
560,3i,5,3.8029,5.0,416.23
560,4i,2,13.3232,1.0,402.17
565,1i,8,7.0873,1.0,268.72
565,2i,4,9.7647,1.0,270.84
565,3i,5,3.7847,5.0,321.46
565,4i,2,13.8261,1.0,267.4
570,1i,8,3.4744,1.0,135.56
570,2i,4,6.718,1.0,138.15
570,3i,5,3.7002,5.0,226.66
570,4i,2,11.7778,1.0,136.96
575,1i,9,4.462,1.0,456.59
575,2i,6,9.9274,1.0,456.72
575,3i,5,8.9244,10.8,455.86
575,4i,2,20.9974,49.58,456.45
580,1i,9,2.9577,1.0,322.52
580,2i,6,7.9958,1.0,357.58
580,3i,4,12.1279,1.0,321.84
580,4i,2,15.5087,2.29,320.96
585,1i,10,5.2506,1.0,455.55
585,2i,6,7.6126,1.0,261.91
